driver-pairs,distance
"(1, '21', '16')",34.37092251598152
"(1, '21', '55')",37.6232380832796
"(1, '21', '23')",40.80512747347945
"(1, '21', '1')",40.39479654840075
"(1, '21', '18')",41.84995277704446
"(1, '21', '63')",40.46884590764136
"(1, '21', '2')",42.958399588438375
"(1, '21', '31')",35.288759352199435
"(1, '21', '22')",35.879291922676
"(1, '21', '44')",37.63430588355638
"(1, '21', '4')",32.92706921308007
"(1, '21', '10')",36.40748829776827
"(1, '77', '20')",35.36939957342081
"(1, '77', '11')",33.302386500007835
"(1, '77', '14')",46.834933922812326
"(1, '77', '81')",40.866921785001686
"(1, '77', '24')",35.73741525368528
"(1, '77', '21')",39.90578425074955
"(1, '77', '27')",42.100889377991145
"(1, '77', '16')",38.21086750538418
"(1, '77', '55')",35.326043755185715
"(1, '77', '23')",43.5653273389479
"(1, '77', '1')",43.87604872075506
"(1, '77', '18')",42.729807761883045
"(1, '77', '63')",45.0909347925432
"(1, '77', '2')",44.40515931402224
"(1, '77', '31')",39.05332158073875
"(1, '77', '22')",40.14912735368615
"(1, '77', '44')",31.285572385992314
"(1, '77', '4')",36.87767829856428
"(1, '77', '10')",34.532685048261044
"(1, '27', '20')",42.71030727423681
"(1, '27', '11')",30.202984375013248
"(1, '27', '14')",46.14695103773741
"(1, '27', '81')",30.21392506019703
"(1, '27', '24')",50.653173191851415
"(1, '27', '21')",40.62580433136664
"(1, '27', '77')",30.200377491562037
"(1, '27', '16')",33.74196694566902
"(1, '27', '55')",48.208950731335364
"(1, '27', '23')",32.09867093037254
"(1, '27', '1')",31.687148890363233
"(1, '27', '18')",43.393200828647025
"(1, '27', '63')",31.79731976802327
"(1, '27', '2')",44.524751261969755
"(1, '27', '31')",37.72867952950208
"(1, '27', '22')",30.19954890144166
"(1, '27', '44')",34.65224822561529
"(1, '27', '4')",30.198679255073653
"(1, '27', '10')",47.90438380893738
"(1, '16', '20')",37.33647945433215
"(1, '16', '11')",41.367388816403874
"(1, '16', '14')",45.184449516456354
"(1, '16', '81')",38.55441924688902
"(1, '16', '24')",42.236866688203236
"(1, '16', '21')",41.18166655149295
"(1, '16', '77')",35.303028746111565
"(1, '16', '27')",40.725696366992096
"(1, '16', '55')",40.51545727693318
"(1, '16', '23')",34.974071971956334
"(1, '16', '1')",32.71415873409737
"(1, '16', '18')",49.00358807291876
"(1, '16', '63')",32.77708042523508
"(1, '16', '2')",43.10180271489396
"(1, '16', '31')",38.61878495339325
"(1, '16', '22')",38.12128643886557
"(1, '16', '44')",33.540621991011065
"(1, '16', '4')",35.58077000598751
"(1, '16', '10')",38.82095109976044
"(1, '55', '20')",32.529814499597855
"(1, '55', '11')",32.55374592894898
"(1, '55', '14')",44.52335376082396
"(1, '55', '81')",42.32490619868365
"(1, '55', '24')",33.93355371396205
"(1, '55', '21')",37.62323808327961
"(1, '55', '77')",35.06920866738806
"(1, '55', '27')",42.15572989429596
"(1, '55', '16')",37.34461162241974
"(1, '55', '23')",31.873110979881012
"(1, '55', '1')",45.319440521728716
"(1, '55', '18')",40.39018867580166
"(1, '55', '63')",46.54713865902471
"(1, '55', '2')",42.09036592939405
"(1, '55', '31')",38.49825064020942
"(1, '55', '22')",41.60175703048269
"(1, '55', '44')",30.378063690695516
"(1, '55', '4')",37.22919936204545
"(1, '55', '10')",31.330202084324053
"(1, '23', '20')",39.79999769971373
"(1, '23', '11')",41.72110034225537
"(1, '23', '14')",40.265176376244014
"(1, '23', '81')",46.398826492533914
"(1, '23', '24')",44.76495161479431
"(1, '23', '21')",42.28113865177293
"(1, '23', '77')",42.65268780152325
"(1, '23', '27')",32.09867093037255
"(1, '23', '16')",34.974071971956334
"(1, '23', '55')",32.41032783572119
"(1, '23', '1')",30.75935982533842
"(1, '23', '18')",51.94390841889076
"(1, '23', '63')",30.897314790497106
"(1, '23', '2')",53.645570697876906
"(1, '23', '31')",45.42138591398852
"(1, '23', '22')",46.04830209165996
"(1, '23', '44')",34.952272159932726
"(1, '23', '4')",44.48438971395227
"(1, '23', '10')",42.90883829323844
"(1, '1', '20')",41.513070192038576
"(1, '1', '11')",41.362452103143475
"(1, '1', '14')",37.203949133238346
"(1, '1', '81')",43.327742570869226
"(1, '1', '24')",41.68723441875381
"(1, '1', '21')",42.6109408462603
"(1, '1', '77')",41.6739060509406
"(1, '1', '27')",31.687148890363233
"(1, '1', '16')",32.71415873409737
"(1, '1', '55')",44.00869775858025
"(1, '1', '23')",30.75935982533842
"(1, '1', '18')",35.47236220726481
"(1, '1', '63')",26.47451642750559
"(1, '1', '2')",35.61632758079484
