ORIGIN,DEST,PAYLOAD,DISTANCE,SEATS,PASSENGERS,DEPARTURES_PERFORMED,CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,ORIGIN_NAME,DEST_NAME
PHO,OTZ,3811169.0,150.0,9938.0,3282.0,1192.0,"['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'
 'Era Aviation' 'Alaska Central Express' 'Frontier Flying Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service']",14102,13970,"Point Hope, AK: Point Hope Airport","Kotzebue, AK: Ralph Wien Memorial"
PIZ,OTZ,122385.0,198.0,175.0,19.0,25.0,"['Warbelow' 'Hageland Aviation Service' 'Arctic Transportation'
 'Alaska Central Express' 'Bering Air Inc.' 'Era Aviation']",14125,13970,"Point Lay, AK: Point Lay LRRS","Kotzebue, AK: Ralph Wien Memorial"
RBY,OTZ,4400.0,252.0,16.0,0.0,2.0,['Hageland Aviation Service'],14474,13970,"Ruby, AK: Ruby Airport","Kotzebue, AK: Ralph Wien Memorial"
RDB,OTZ,1055670.0,80.0,2718.0,1253.0,313.0,"['Hageland Aviation Service' 'Bering Air Inc.' 'Northern Air Cargo Inc.'
 'Alaska Airlines Inc.']",14485,13970,"Red Dog, AK: Red Dog Airport","Kotzebue, AK: Ralph Wien Memorial"
RLU,OTZ,11100.0,154.0,30.0,8.0,4.0,['Wright Air Service' 'Hageland Aviation Service' 'Bering Air Inc.'],14551,13970,"Bornite/Ruby Creek, AK: Bornite Upper","Kotzebue, AK: Ralph Wien Memorial"
SCC,OTZ,160265.0,424.0,513.0,169.0,23.0,['Bering Air Inc.' 'Northern Air Cargo Inc.' 'Alaska Airlines Inc.'],14709,13970,"Deadhorse, AK: Deadhorse Airport","Kotzebue, AK: Ralph Wien Memorial"
SHG,OTZ,1082250.0,148.0,2831.0,898.0,353.0,['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'],14804,13970,"Shungnak, AK: Shungnak Airport","Kotzebue, AK: Ralph Wien Memorial"
SHH,OTZ,208325.0,106.0,214.0,48.0,49.0,"['Arctic Transportation' 'Bering Air Inc.' 'Hageland Aviation Service'
 'Wright Air Service']",14805,13970,"Shishmaref, AK: Shishmaref Airport","Kotzebue, AK: Ralph Wien Memorial"
SKK,OTZ,11200.0,179.0,17.0,0.0,3.0,['Hageland Aviation Service' 'Arctic Transportation'],14856,13970,"Shaktoolik, AK: Shaktoolik Airport","Kotzebue, AK: Ralph Wien Memorial"
SVA,OTZ,5000.0,318.0,9.0,8.0,1.0,['Bering Air Inc.'],15049,13970,"Savoonga, AK: Savoonga Airport","Kotzebue, AK: Ralph Wien Memorial"
TLA,OTZ,15900.0,155.0,19.0,0.0,4.0,['Bering Air Inc.' 'Hageland Aviation Service' 'Arctic Transportation'],15245,13970,"Teller, AK: Teller Airport","Kotzebue, AK: Ralph Wien Memorial"
UNK,OTZ,17415.0,214.0,57.0,32.0,4.0,"['Hageland Aviation Service' 'Arctic Transportation' 'Era Aviation'
 'Bering Air Inc.']",15478,13970,"Unalakleet, AK: Unalakleet Airport","Kotzebue, AK: Ralph Wien Memorial"
WAA,OTZ,2850.0,177.0,9.0,0.0,1.0,['Bering Air Inc.'],15709,13970,"Wales, AK: Wales Airport","Kotzebue, AK: Ralph Wien Memorial"
WBB,OTZ,11200.0,234.0,0.0,0.0,2.0,['Arctic Transportation'],15721,13970,"Stebbins, AK: Stebbins Airport","Kotzebue, AK: Ralph Wien Memorial"
WLK,OTZ,4008625.0,74.0,10886.0,3646.0,1371.0,['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'],15785,13970,"Selawik, AK: Selawik Airport","Kotzebue, AK: Ralph Wien Memorial"
WMO,OTZ,5600.0,154.0,0.0,0.0,1.0,['Arctic Transportation'],15794,13970,"White Mountain, AK: White Mountain Airport","Kotzebue, AK: Ralph Wien Memorial"
